what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261299410715
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1261299410715
java.specification.name,sysinfo,,,"Java Platform API Specification",1261299410715
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261299410715
java.specification.version,sysinfo,,,"1.6",1261299410715
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261299410715
java.version,sysinfo,,,"1.6.0_17",1261299410715
java.vm.info,sysinfo,,,"mixed mode, sharing",1261299410715
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261299410715
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1261299410715
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261299410715
java.vm.specification.version,sysinfo,,,"1.0",1261299410715
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261299410715
java.vm.version,sysinfo,,,"14.3-b01",1261299410715
started,bundle,org.eclipse.ui.intro,3.3.0.v20090526,"org.eclipse.ui.intro",1261299436128
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1261299436143
opened,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1261299436533
activated,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1261299436580
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.quickStartAction",1261299436705
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1261299449372
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1261299455191
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1261299465206
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1261299465362
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.exit",1261299465549
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1261299465612
